Listed Company's English Name,Listed Company's Chinese Name,Stock Code,Listing Status,Director's English Name,Director's Chinese Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd)
Concord New Energy Group Limited,協合新能源集團有限公司,00182,Current,ZHAO Da Ke,趙大可,Executive Director,,1999-06-01,2006-12-06
Concord New Energy Group Limited,協合新能源集團有限公司,00182,Current,CHU Kwan,朱均,Executive Director,,1997-08-06,2006-12-06
CITIC International Financial Holdings Limited,中信國際金融控股有限公司,00183,Delisted,LO Wing Yat,盧永逸,Executive Director,Managing Director,1997-12-12,2008-11-05
Zensun Enterprises Limited,正商實業有限公司,00185,Current,WOOLDRIDGE Dean Mark,,Alternate Director,,1997-03-07,2015-07-27
Zensun Enterprises Limited,正商實業有限公司,00185,Current,CHAN Sook Jin Mary-ann,陳淑貞,Executive Director,,1997-09-15,2009-10-23
Zensun Enterprises Limited,正商實業有限公司,00185,Current,WONG Dor Luk Peter,王多祿,Independent Non Executive Director,,1998-09-01,2015-07-27
Nimble Holdings Company Limited,敏捷控股有限公司,00186,Current,MA Chi Chiu Adrian,馬子超,Executive Director,"CEO, Managing Director",1999-01-15,2011-06-23
Nimble Holdings Company Limited,敏捷控股有限公司,00186,Current,TSOI Hak Kong Herbert,蔡克剛,Independent Non Executive Director,,1999-01-15,2011-06-10
Nimble Holdings Company Limited,敏捷控股有限公司,00186,Current,ASPREY Lai Shan Christine,何勵珊,Executive Director,,1999-01-15,2013-02-01
HKC (Holdings) Limited,香港建設(控股)有限公司,00190,Delisted,LI Xue Ming,李學明,Non Executive Director,,1999-03-02,2006-11-16
HKC (Holdings) Limited,香港建設(控股)有限公司,00190,Delisted,CHEN Li Bo,陳立波,Executive Director,CEO,1997-09-09,2006-11-16
HKC (Holdings) Limited,香港建設(控股)有限公司,00190,Delisted,FAN Yan Hok Philip,范仁鶴,Non Executive Director,,1999-11-19,2006-11-16
Liu Chong Hing Investment Limited,廖創興企業有限公司,00194,Current,LEE Tung Hai Leo,李東海,Independent Non Executive Director,,1999-08-12,2010-06-08
Liu Chong Hing Investment Limited,廖創興企業有限公司,00194,Current,LIU Chun Ning Wilfred,廖俊寧,Non Executive Director,,1997-03-13,2017-05-09
Liu Chong Hing Investment Limited,廖創興企業有限公司,00194,Current,LIU Kam Fai Winston,廖金輝,Executive Director,,1997-03-13,
Liu Chong Hing Investment Limited,廖創興企業有限公司,00194,Current,CHENG Mo Chi Moses,鄭慕智,Independent Non Executive Director,,1999-08-12,
SMI Holdings Group Limited,星美控股集團有限公司,00198,Delisted,LAM Tak Shing Harry,林德城,Independent Non Executive Director - A/F,,1998-12-01,2009-05-29
SMI Holdings Group Limited,星美控股集團有限公司,00198,Delisted,TSANG Chi Wai Eric,曾志偉,Executive Director,,1999-09-02,2006-06-12
Melco International Development Limited,新濠國際發展有限公司,00200,Current,KWAN Chiu Yin Robert,關超然,Independent Non Executive Director - A/F,,1998-02-17,2006-03-15
Melco International Development Limited,新濠國際發展有限公司,00200,Current,LOBO Rogerio Hyndman,羅保,Independent Non Executive Director,,1998-02-17,2015-04-18
Magnificent Hotel Investments Limited,華大酒店投資有限公司,00201,Current,KWOK Chi Sun Vincent,郭志燊,Independent Non Executive Director - A/F,,1999-07-19,2021-07-08
Magnificent Hotel Investments Limited,華大酒店投資有限公司,00201,Current,CHENG Kai Ho David,鄭啟豪,Non Executive Director,,1999-04-16,2009-03-20
Denway Motors Limited,駿威汽車有限公司,00203,Delisted,CHEUNG Doi Shu,張岱樞,Independent Non Executive Director,,1998-04-16,2010-08-26
Denway Motors Limited,駿威汽車有限公司,00203,Delisted,LU Zhi Feng,陸志峰,Executive Director,,1998-09-18,2008-07-10
Denway Motors Limited,駿威汽車有限公司,00203,Delisted,ZHANG Fang You,張房有,Executive Director,Chairman,1998-09-18,2010-08-26
Denway Motors Limited,駿威汽車有限公司,00203,Delisted,LEE Ka Lun,李家麟,Independent Non Executive Director - A/F,,1999-06-30,2010-08-26
SEEC Media Group Limited,財訊傳媒集團有限公司,00205,Current,ZHANG Zhi Fang,章知方,Executive Director,,1997-12-09,
SEEC Media Group Limited,財訊傳媒集團有限公司,00205,Current,DAI Xiao Jing,戴小京,Executive Director,,1998-12-07,2016-04-19
SEEC Media Group Limited,財訊傳媒集團有限公司,00205,Current,FU Feng Xiang,傅豐祥,Independent Non Executive Director,,1997-12-09,2014-03-31
Nanyang Holdings Limited,南洋集團有限公司,00212,Current,BISCHOF Rudolf,畢紹傅,Independent Non Executive Director,Chairman,1998-03-03,
"Chinney Investments, Limited",建業實業有限公司,00216,Current,YOUNG Kwok Hung Clement,楊國雄,Independent Non Executive Director,,1999-12-03,2019-08-29
Shenwan Hongyuan (H.K.) Limited,申萬宏源(香港)有限公司,00218,Current,YING Nian Kang,應年康,Executive Director,,1997-08-07,2012-03-09
Shun Ho Property Investments Limited,順豪物業投資有限公司,00219,Current,KWOK Chi Sun Vincent,郭志燊,Independent Non Executive Director - A/F,,1999-07-19,2021-07-08
Shun Ho Property Investments Limited,順豪物業投資有限公司,00219,Current,CHENG Kai Ho David,鄭啟豪,Non Executive Director,,1999-04-16,2009-03-20
Min Xin Holdings Limited,閩信集團有限公司,00222,Current,IP Kai Ming,葉啟明,Independent Non Executive Director,,1998-07-15,
Min Xin Holdings Limited,閩信集團有限公司,00222,Current,CHEN Gui Zong,陳桂宗,Executive Director,,1997-01-17,2009-04-23
Min Xin Holdings Limited,閩信集團有限公司,00222,Current,SZE Tsai To Robert,史習陶,Independent Non Executive Director - A/F,,1999-05-18,2018-04-01
Pioneer Global Group Limited,建生國際集團有限公司,00224,Current,IP Tin Chee Arnold,葉天賜,Independent Non Executive Director - A/F,,1999-06-23,
First Shanghai Investments Limited,第一上海投資有限公司,00227,Current,XIN Shu Lin,辛樹林,Executive Director,,1998-06-16,
First Shanghai Investments Limited,第一上海投資有限公司,00227,Current,YEUNG Wai Kin,楊偉堅,Executive Director,,1998-06-16,
First Shanghai Investments Limited,第一上海投資有限公司,00227,Current,HU Yi Ming,胡一鳴,Executive Director,,1998-06-16,2007-07-31
Raymond Industrial Limited,利民實業有限公司,00229,Current,WONG Ying Man John,黃英敏,Executive Director,,1997-09-15,
Minmetals Land Limited,五礦地產有限公司,00230,Current,LAM Chun Daniel,林濬,Independent Non Executive Director,,1997-05-22,2015-06-11
Minmetals Land Limited,五礦地產有限公司,00230,Current,TAM Wai Chu Maria,譚惠珠,Independent Non Executive Director,,1997-04-15,2018-04-01
Continental Aerospace Technologies Holding Limited,大陸航空科技控股有限公司,00232,Current,REN Hai Feng,任海峰,Executive Director,,1999-05-11,2008-02-05
Continental Aerospace Technologies Holding Limited,大陸航空科技控股有限公司,00232,Current,LI Ka Cheung Eric,李家祥,Independent Non Executive Director - A/F,,1999-05-11,2007-12-24
Continental Aerospace Technologies Holding Limited,大陸航空科技控股有限公司,00232,Current,CHU Yu Lin David,朱幼麟,Independent Non Executive Director,,1999-05-11,
Continental Aerospace Technologies Holding Limited,大陸航空科技控股有限公司,00232,Current,IP Tak Chuen Edmond,葉德銓,Non Executive Director,,1999-05-11,2015-06-23
New Century Group Hong Kong Limited,新世紀集團香港有限公司,00234,Current,WONG Kwok Tai,黃國泰,Independent Non Executive Director - A/F,,1999-05-18,2012-09-04
New Century Group Hong Kong Limited,新世紀集團香港有限公司,00234,Current,LO Ming Chi Charles,勞明智,Executive Director,,1999-03-29,2009-02-02
San Miguel Brewery Hong Kong Limited,香港生力啤酒廠有限公司,00236,Current,ANG Ramon,蔡啟文,Non Executive Director,Chairman,1998-11-27,
San Miguel Brewery Hong Kong Limited,香港生力啤酒廠有限公司,00236,Current,MENDOZA Estelito,文達紳,Non Executive Director,,1998-11-27,2006-02-24
Shun Tak Holdings Limited,信德集團有限公司,00242,Current,MOK HO Yuen Wing Louise,莫何婉穎,Non Executive Director,,1999-03-09,2016-12-21
Sino-i Technology Limited,中國數碼信息有限公司,00250,Current,YU Pun Hoi,于品海,Executive Director,,1997-01-31,
Sino-i Technology Limited,中國數碼信息有限公司,00250,Current,LUO Ning,羅寧,Non Executive Director,,1999-10-05,2011-05-16
Sino-i Technology Limited,中國數碼信息有限公司,00250,Current,ZHANG Hong Ren,張宏任,Executive Director,,1999-10-12,2006-04-01
SEA Holdings Limited,爪哇控股有限公司,00251,Current,LEUNG Hok Lim,梁學濂,Independent Non Executive Director - A/F,,1999-02-01,2021-05-28
Shun Ho Holdings Limited,順豪控股有限公司,00253,Current,CHENG Kai Ho David,鄭啟豪,Non Executive Director,,1999-04-16,2009-03-20
Shun Ho Holdings Limited,順豪控股有限公司,00253,Current,KWOK Chi Sun Vincent,郭志燊,Independent Non Executive Director - A/F,,1999-07-19,2021-07-08
Lung Kee (Bermuda) Holdings Limited,龍記(百慕達)集團有限公司,00255,Current,FUNG Wai Hing,馮偉興,Executive Director,,1997-08-01,2013-12-31
China Everbright Environment Group Limited,中國光大環境（集團）有限公司,00257,Current,LI Kwok Sing,李國星,Independent Non Executive Director - A/F,,1998-11-06,2017-05-24
China Everbright Environment Group Limited,中國光大環境（集團）有限公司,00257,Current,FAN Yan Hok Philip,范仁鶴,Executive Director,,1997-11-01,2010-01-20
Tomson Group Limited,湯臣集團有限公司,00258,Current,CHUANG Hsiao Chen,莊烋真,Executive Director,,1998-04-20,2013-06-05
Yeebo (International Holdings) Limited,億都(國際控股)有限公司,00259,Current,CHU Chi Wai Allan,朱知偉,Independent Non Executive Director,,1998-08-05,
Yeebo (International Holdings) Limited,億都(國際控股)有限公司,00259,Current,TIEN Pei Chun James,田北俊,Independent Non Executive Director,,1997-06-16,2019-09-24
Deson Development International Holdings Limited,迪臣發展國際集團有限公司,00262,Current,KEUNG Kwok Cheung,姜國祥,Executive Director,,1998-11-20,2015-01-07
CITIC Limited,中國中信股份有限公司,00267,Current,DESMARAIS André Roger,德馬雷,Non Executive Director,,1997-12-10,2014-05-14
Kingdee International Software Group Company Limited,金蝶國際軟件集團有限公司,00268,Current,XU Shao Chun,徐少春,Executive Director,"Chairman, CEO",1999-09-22,
Kingdee International Software Group Company Limited,金蝶國際軟件集團有限公司,00268,Current,ZHAO Yong,趙勇,Non Executive Director,,1999-09-22,2007-09-12
Guangdong Investment Limited,粵海投資有限公司,00270,Current,LI Kwok Po David,李國寶,Independent Non Executive Director - A/F,,1998-06-25,2021-03-27
Guangdong Investment Limited,粵海投資有限公司,00270,Current,CHAN Cho Chak John,陳祖澤,Independent Non Executive Director,,1998-06-25,
Mongolia Energy Corporation Limited,蒙古能源有限公司,00276,Current,ONG Yvette,翁綺慧,Executive Director,Managing Director,1999-09-27,
Mongolia Energy Corporation Limited,蒙古能源有限公司,00276,Current,PUN Peter,潘衍壽,Independent Non Executive Director,,1997-10-03,2016-09-06
Mongolia Energy Corporation Limited,蒙古能源有限公司,00276,Current,LO Lin Shing Simon,魯連城,Executive Director,Chairman,1999-08-12,
Wah Ha Realty Company Limited,華厦置業有限公司,00278,Current,CHEUNG Ying Wai Eric,鍾英偉,Executive Director,,1999-09-22,
King Fook Holdings Limited,景褔集團有限公司,00280,Current,CHENG Kar Shing,鄭家成,Independent Non Executive Director,,1997-09-30,
Next Digital Limited,壹傳媒有限公司,00282,Delisted,TING Ka Yu Stephen,丁家裕,Executive Director,,1999-10-20,2016-01-01
Next Digital Limited,壹傳媒有限公司,00282,Delisted,LAI Chee Ying,黎智英,Executive Director,Chairman,1999-10-20,2014-12-12
Cosway Corporation Limited,科士威集團有限公司,00288,Delisted,TAN Tee Yong,陳智勇,Independent Non Executive Director,,1998-09-28,2010-04-09
China Resources Beer (Holdings) Company Limited,華潤啤酒(控股)有限公司,00291,Current,LAU Pak Shing,劉百成,Executive Director,,1997-04-21,2010-03-01
China Resources Beer (Holdings) Company Limited,華潤啤酒(控股)有限公司,00291,Current,CHEN Shu Lin Mark,陳樹林,Executive Director,Managing Director,1998-12-07,2009-01-16
Asia Standard Hotel Group Limited,泛海酒店集團有限公司,00292,Current,FUNG Siu To Clement,馮兆滔,Executive Director,,1997-01-21,
Asia Standard Hotel Group Limited,泛海酒店集團有限公司,00292,Current,LIM Yin Cheng,林迎青,Executive Director,CEO,1997-01-21,
Asia Standard Hotel Group Limited,泛海酒店集團有限公司,00292,Current,POON Jing,潘政,Executive Director,Chairman,1997-01-21,
Cathay Pacific Airways Limited,國泰航空有限公司,00293,Current,YUNG Ming Jie Carl,榮明杰,Non Executive Director,,1997-03-12,2006-09-28
Cathay Pacific Airways Limited,國泰航空有限公司,00293,Current,CHEN Nan Lok Philip,陳南祿,Executive Director,CEO,1997-03-01,2007-07-01
Cathay Pacific Airways Limited,國泰航空有限公司,00293,Current,ZHANG Xian Lin,張憲林,Non Executive Director,,1997-08-02,2006-10-23
Cathay Pacific Airways Limited,國泰航空有限公司,00293,Current,ATKINSON Robert Michael James,顏堅信,Executive Director,,1997-06-21,2009-03-12
Cathay Pacific Airways Limited,國泰航空有限公司,00293,Current,CUBBON Martin,郭鵬,Non Executive Director,,1998-09-16,2009-05-14
Cathay Pacific Airways Limited,國泰航空有限公司,00293,Current,CRIDLAND Derek George,梁德基,Executive Director,,1998-04-18,2006-12-31
Cathay Pacific Airways Limited,國泰航空有限公司,00293,Current,HUGHES-HALLETT James Wyndham John,何禮泰,Non Executive Director,,1998-07-01,2015-01-01
Kong Sun Holdings Limited,江山控股有限公司,00295,Current,KONG Li Szu,江立師,Executive Director,,1998-05-01,2008-10-01
Kong Sun Holdings Limited,江山控股有限公司,00295,Current,KONG Li Jer,江立哲,Executive Director,,1997-01-02,2007-02-15
Kong Sun Holdings Limited,江山控股有限公司,00295,Current,KU Suen Fai,古宣輝,Independent Non Executive Director,,1998-02-24,2006-02-23
Emperor Entertainment Hotel Limited,英皇娛樂酒店有限公司,00296,Current,CHAN Sim Ling Irene,陳嬋玲,Independent Non Executive Director,,1998-05-01,2013-08-08
Emperor Entertainment Hotel Limited,英皇娛樂酒店有限公司,00296,Current,LAM San Keung,林新強,Independent Non Executive Director,,1998-09-15,2006-02-15
Chuang's China Investments Limited,莊士中國投資有限公司,00298,Current,LI Mee Sum Ann,李美心,Executive Director,Managing Director,1999-11-01,
Chuang's China Investments Limited,莊士中國投資有限公司,00298,Current,PANG Chun Kit Sunny,彭振傑,Executive Director,,1999-01-29,2021-07-30
Chuang's China Investments Limited,莊士中國投資有限公司,00298,Current,CHU Yu Lin David,朱幼麟,Independent Non Executive Director,,1997-10-27,2020-06-08
Shenji Group Kunming Machine Tool Company Limited,沈機集團昆明機床股份有限公司,00300,Delisted,GUO Shang Wu,郭尚武,Non Executive Director,,1999-10-28,2007-03-23
New World TMT Limited,新世界信息科技有限公司,00301,Delisted,FU Sze Shing,符史聖,Non Executive Director,,1999-08-20,2006-02-20
"Wing Hang Bank, Limited",永亨銀行有限公司,00302,Delisted,WANG John Frank,王家華,Executive Director,,1999-06-23,2014-10-16
"Wing Hang Bank, Limited",永亨銀行有限公司,00302,Delisted,GRIFFITH Alan Richard,,Non Executive Director,,1999-10-21,2006-04-27
Peace Mark (Holdings) Limited,宜進利(集團)有限公司,00304,Delisted,TSANG Kwong Chiu Kevin,曾廣釗,Executive Director,,1997-06-04,2010-10-25
Peace Mark (Holdings) Limited,宜進利(集團)有限公司,00304,Delisted,LEUNG Yung,粱榕,Executive Director,CEO,1997-06-04,2011-01-07
Wuling Motors Holdings Limited,五菱汽車集團控股有限公司,00305,Current,OOI Sin Heng,黃新興,Executive Director,,1999-08-31,2006-07-13
Wuling Motors Holdings Limited,五菱汽車集團控股有限公司,00305,Current,TAM Cheok Wing,譚焯榮,Executive Director,,1999-06-16,2006-07-13
Wuling Motors Holdings Limited,五菱汽車集團控股有限公司,00305,Current,CHAN Hon Ming Alan,陳漢明,Executive Director,,1999-08-31,2006-07-13
Kwoon Chung Bus Holdings Limited,冠忠巴士集團有限公司,00306,Current,MOK Wah Fun Peter,莫華勲,Executive Director,,1998-07-06,2012-12-05
Kwoon Chung Bus Holdings Limited,冠忠巴士集團有限公司,00306,Current,CHAN Yu Kwong Francis,陳宇江,Executive Director,,1997-02-01,2012-12-05
China Travel International Investment Hong Kong Limited,香港中旅國際投資有限公司,00308,Current,WONG Man Kong Peter,王敏剛,Independent Non Executive Director,,1998-12-10,2019-03-11
China Travel International Investment Hong Kong Limited,香港中旅國際投資有限公司,00308,Current,FONG Yun Wah,方潤華,Independent Non Executive Director,,1998-12-10,2018-10-24
China Travel International Investment Hong Kong Limited,香港中旅國際投資有限公司,00308,Current,ZHENG He Shui,鄭河水,Executive Director,,1998-09-04,2011-09-09
China Travel International Investment Hong Kong Limited,香港中旅國際投資有限公司,00308,Current,ZHENG Hong Qing,鄭洪慶,Executive Director,,1997-01-21,2007-06-08
Smartone Telecommunications Holdings Limited,數碼通電訊集團有限公司,00315,Current,NG Leung Sing,吳亮星,Independent Non Executive Director,,1997-06-23,
Smartone Telecommunications Holdings Limited,數碼通電訊集團有限公司,00315,Current,LAI Ho Kai Ernest,黎浩佳,Non Executive Director,,1998-11-23,2007-04-04
CSSC Offshore & Marine Engineering (Group) Company Limited,中船海洋與防務裝備股份有限公司,00317,Current,LI Jung Feng,李俊峰,Non Executive Director,,1999-06-25,2008-05-13
Tingyi (Cayman Islands) Holding Corp.,康師傅控股有限公司,00322,Current,HSU Shin Chun,徐信群,Independent Non Executive Director - A/F,,1999-10-06,
Tingyi (Cayman Islands) Holding Corp.,康師傅控股有限公司,00322,Current,YOSHIZAWA Ryo,吉沢亮,Executive Director,,1999-07-07,2015-03-08
Tingyi (Cayman Islands) Holding Corp.,康師傅控股有限公司,00322,Current,IDA Takeshi,井田毅,Executive Director,,1999-07-07,2013-08-20
Maanshan Iron & Steel Company Limited,馬鞍山鋼鐵股份有限公司,00323,Current,GU Zhang Gen,顧章根,Executive Director,,1997-08-31,2009-01-21
Maanshan Iron & Steel Company Limited,馬鞍山鋼鐵股份有限公司,00323,Current,GAO Hai Jian,高海建,Executive Director,,1999-08-31,2011-07-14
Maanshan Iron & Steel Company Limited,馬鞍山鋼鐵股份有限公司,00323,Current,ZHAO Jian Ming,趙建明,Non Executive Director,,1997-08-31,2012-12-21
Maanshan Iron & Steel Company Limited,馬鞍山鋼鐵股份有限公司,00323,Current,ZHU Chang Qiu,朱昌逑,Executive Director,,1999-08-31,2008-01-03
Maanshan Iron & Steel Company Limited,馬鞍山鋼鐵股份有限公司,00323,Current,SU Jian Gang,蘇鑒鋼,Executive Director,,1997-08-31,2013-08-09
Esprit Holdings Limited,思捷環球控股有限公司,00330,Current,KROGNER-KORNALIK Heinz Jürgen,,Executive Director,"Chairman, CEO",1997-01-10,2010-06-30
Esprit Holdings Limited,思捷環球控股有限公司,00330,Current,POON Cho Ming John,潘祖明,Executive Director,,1999-12-03,2008-07-20
Esprit Holdings Limited,思捷環球控股有限公司,00330,Current,FRIEDRICH Jürgen Alfred Rudolf,,Non Executive Director,,1997-01-10,2020-11-05
China Resources Peoples Telephone Company Limited (Delisted),華潤萬眾電話有限公司,00331,Delisted,HUANG Zhi Jian,黃志儉,Non Executive Director,,1999-10-01,2006-03-29
China Resources Peoples Telephone Company Limited (Delisted),華潤萬眾電話有限公司,00331,Delisted,WONG LEUNG Ka On Charlotte,王梁家安,Executive Director,,1999-10-01,2006-03-29
Top Form International Limited,黛麗斯國際有限公司,00333,Current,FUNG Wai Yiu,馮煒堯,Executive Director,Chairman,1998-01-23,2014-10-31
China Display Optoelectronics Technology Holdings Limited,華顯光電技術控股有限公司,00334,Current,HUI Siu Ling Elina,許小玲,Executive Director,,1997-05-02,2012-01-17
China Display Optoelectronics Technology Holdings Limited,華顯光電技術控股有限公司,00334,Current,YANG Long San Rowell,楊榮山,Executive Director,"Chairman, CEO",1997-05-02,2010-08-02
China Display Optoelectronics Technology Holdings Limited,華顯光電技術控股有限公司,00334,Current,LEE Chiu Kang,李疇賡,Independent Non Executive Director,,1997-05-02,2010-08-24
China Display Optoelectronics Technology Holdings Limited,華顯光電技術控股有限公司,00334,Current,WONG Kui Ming Luffer,黃貴明,Executive Director,,1997-05-02,2006-05-19
Cafe de Coral Holdings Limited,大家樂集團有限公司,00341,Current,HUI Tung Wah,許棟華,Non Executive Director,,1997-04-01,
Cafe de Coral Holdings Limited,大家樂集團有限公司,00341,Current,LO Tak Shing Peter,羅德承,Executive Director,CEO,1998-05-01,
Culturecom Holdings Limited,文化傳信集團有限公司,00343,Current,MANAYAN Henry Chang,鄭國民,Executive Director,,1999-09-01,2010-09-13
Culturecom Holdings Limited,文化傳信集團有限公司,00343,Current,CHEUNG Wai Tung,張偉東,Executive Director,"Chairman, CEO",1998-12-01,2011-01-01
Culturecom Holdings Limited,文化傳信集團有限公司,00343,Current,CHU Bong Foo,朱邦復,Executive Director,,1999-05-27,2011-01-21
Culturecom Holdings Limited,文化傳信集團有限公司,00343,Current,WANG Tiao Chun,王調軍,Independent Non Executive Director,,1999-08-06,2008-09-09
Culturecom Holdings Limited,文化傳信集團有限公司,00343,Current,LAI Man To,黎文濤,Independent Non Executive Director,,1999-03-15,2009-09-03
Angang Steel Company Limited,鞍鋼股份有限公司,00347,Current,YU Wan Yuan,于萬源,Non Executive Director,,1999-11-01,2009-06-12
Angang Steel Company Limited,鞍鋼股份有限公司,00347,Current,FU Ji Hui,付吉會,Executive Director,,1997-05-07,2013-05-15
China Healthwise Holdings Limited,中國智能健康控股有限公司,00348,Current,LEUNG Lun,梁麟,Executive Director,,1997-07-14,2017-03-30
China Healthwise Holdings Limited,中國智能健康控股有限公司,00348,Current,WONG Lam,王霖,Independent Non Executive Director,,1999-11-12,2012-09-14
China Healthwise Holdings Limited,中國智能健康控股有限公司,00348,Current,LEUNG Chung Ming,梁鍾銘,Executive Director,Managing Director,1997-07-14,2011-05-09
China Healthwise Holdings Limited,中國智能健康控股有限公司,00348,Current,WONG Tze On Andy,王子安,Executive Director,,1997-08-23,2014-09-24
China Healthwise Holdings Limited,中國智能健康控股有限公司,00348,Current,ZHONG Bing Quan,鐘炳權,Executive Director,,1997-07-14,2010-08-31
China Healthwise Holdings Limited,中國智能健康控股有限公司,00348,Current,YE Tian Liu,葉添鏐,Independent Non Executive Director,,1999-11-12,2016-10-27
China Healthwise Holdings Limited,中國智能健康控股有限公司,00348,Current,CHENG Yun Tai,鄭潤弟,Executive Director,,1997-07-14,2010-08-31
Jingwei Textile Machinery Company Limited,經緯紡織機械股份有限公司,00350,Delisted,ZHANG Jian Guo,張建國,Executive Director,,1999-11-15,2010-08-15
Jingwei Textile Machinery Company Limited,經緯紡織機械股份有限公司,00350,Delisted,LIU Hong,劉紅,Executive Director,,1998-08-15,2010-08-15
Jingwei Textile Machinery Company Limited,經緯紡織機械股份有限公司,00350,Delisted,FAN Xin Min,范新民,Executive Director,,1998-08-15,2010-08-15
Jingwei Textile Machinery Company Limited,經緯紡織機械股份有限公司,00350,Delisted,YE Mao Xin,葉茂新,Executive Director,Chairman,1998-08-15,2015-12-28
Jingwei Textile Machinery Company Limited,經緯紡織機械股份有限公司,00350,Delisted,KON Hiu King Kenneth,干曉勁,Independent Non Executive Director,,1999-09-06,2007-08-15
Century City International Holdings Limited,世紀城市國際控股有限公司,00355,Current,LO LEE Kit Tai Kitty,羅李潔提,Non Executive Director,,1999-10-25,2007-01-11
Century City International Holdings Limited,世紀城市國際控股有限公司,00355,Current,LO Chun To,羅俊圖,Executive Director,,1999-10-25,
Jiangxi Copper Company Limited,江西銅業股份有限公司,00358,Current,WANG Chi Wei,王赤衛,Executive Director,,1998-10-14,2009-06-26
Jiangxi Copper Company Limited,江西銅業股份有限公司,00358,Current,HE Chang Ming,何昌明,Executive Director,Chairman,1997-01-18,2007-04-03
Jiangxi Copper Company Limited,江西銅業股份有限公司,00358,Current,QI Huai Ying,戚懷英,Executive Director,,1997-01-18,2007-04-03
Jiangxi Copper Company Limited,江西銅業股份有限公司,00358,Current,GAO Jian Min,高建民,Executive Director,,1997-01-18,
Chuang's Consortium International Limited,莊士機構國際有限公司,00367,Current,CHAN Po Fun Peter,陳普芬,Independent Non Executive Director - A/F,,1997-12-17,2013-03-26
Wing Tai Properties Limited,永泰地產有限公司,00369,Current,FANG Hung Kenneth,方鏗,Independent Non Executive Director,,1997-08-06,2018-06-06
PT International Development Corporation Limited,保德國際發展企業有限公司,00372,Current,CHAN Kwok Keung Charles,陳國強,Executive Director,Chairman,1997-02-18,2017-03-28
PT International Development Corporation Limited,保德國際發展企業有限公司,00372,Current,CHAN Kwok Chuen Augustine,陳國銓,Executive Director,,1997-11-11,2017-03-28
PT International Development Corporation Limited,保德國際發展企業有限公司,00372,Current,CHAU Mei Wah Rosanna,周美華,Executive Director,,1997-02-18,2017-12-29
PT International Development Corporation Limited,保德國際發展企業有限公司,00372,Current,CHAN Fut Yan,陳佛恩,Executive Director,,1997-12-12,2017-03-28
Allied Group Limited,聯合集團有限公司,00373,Current,BARTLETT David Craig,白禮德,Independent Non Executive Director,,1999-12-17,
Four Seas Mercantile Holdings Limited,四洲集團有限公司,00374,Current,KIJIMA Tsunao,木島綱雄,Independent Non Executive Director,,1997-04-16,2006-07-04
Four Seas Mercantile Holdings Limited,四洲集團有限公司,00374,Current,MAN Wing Cheung Ellis,文永祥,Executive Director,,1999-08-10,2022-04-01
Four Seas Mercantile Holdings Limited,四洲集團有限公司,00374,Current,LEUNG Mei Han,梁美嫻,Independent Non Executive Director - A/F,,1998-12-01,2023-04-01
Welling Holding Limited,威靈控股有限公司,00382,Delisted,LAM Ming Yung,林明勇,Independent Non Executive Director,,1999-12-01,2018-02-19
Welling Holding Limited,威靈控股有限公司,00382,Delisted,CHAN Wai Dune,陳維端,Independent Non Executive Director - A/F,,1998-12-30,2009-07-31
Welling Holding Limited,威靈控股有限公司,00382,Delisted,ZHANG Xin Hua,張新華,Non Executive Director,,1997-06-27,2008-12-17
Chinney Alliance Group Limited,建聯集團有限公司,00385,Current,WONG Sai Wing James,王世榮,Executive Director,Chairman,1998-10-23,2023-06-02
Chinney Alliance Group Limited,建聯集團有限公司,00385,Current,FUNG Man Hei Herman,馮文起,Non Executive Director,,1998-10-23,2018-04-01
Beijing Enterprises Holdings Limited,北京控股有限公司,00392,Current,LI Fu Cheng,李福成,Executive Director,,1997-04-04,2017-09-01
Beijing Enterprises Holdings Limited,北京控股有限公司,00392,Current,YI Xi Qun,衣鍚群,Executive Director,Chairman,1999-12-20,2009-08-18
Beijing Enterprises Holdings Limited,北京控股有限公司,00392,Current,LAU Hon Chuen,劉漢銓,Independent Non Executive Director,,1997-04-10,2008-03-03
Beijing Enterprises Holdings Limited,北京控股有限公司,00392,Current,ZHENG Wan He,鄭萬河,Executive Director,,1997-04-04,2007-01-05
Beijing Enterprises Holdings Limited,北京控股有限公司,00392,Current,WANG Xian Zhang,王憲章,Independent Non Executive Director,,1997-04-19,2008-03-03
Beijing Enterprises Holdings Limited,北京控股有限公司,00392,Current,LEE Tung Hai Leo,李東海,Independent Non Executive Director - A/F,,1997-04-22,2008-03-03
Glorious Sun Enterprises Limited,旭日企業有限公司,00393,Current,LAU Hon Chuen,劉漢銓,Independent Non Executive Director,,1997-03-31,
Hsin Chong Group Holdings Limited,新昌集團控股有限公司,00404,Delisted,HUI Ho Ming Herbert,許浩明,Independent Non Executive Director,,1997-06-16,2008-01-23
Lam Soon (Hong Kong) Limited,南順(香港)有限公司,00411,Current,YONG Weng Chye,楊榮財,Alternate Director,,1997-06-23,2006-10-11
Lam Soon (Hong Kong) Limited,南順(香港)有限公司,00411,Current,KWEK Leng Hai,郭令海,Non Executive Director,Chairman,1997-07-22,
Lam Soon (Hong Kong) Limited,南順(香港)有限公司,00411,Current,TAN Lim Heng,陳林興,Non Executive Director,,1997-07-22,2020-11-11
